رمز المساق,رقم المساق,الشعبة,اسم المساق,الساعات,سعة القاعة,سبت,حد,ثن,ثل,ربع,خمس,جمع,وقت البداية,وقت النهاية,الحد الاقصى,الشعبة ملغاة,رمز القاعة,عدد المسجلين,المحاضر,طريقة  تدريس المساق
CYS,437,1,سرية وخصوصية البيانات,3,40,  ,  ,X,  ,X,  ,  ,02:00:00 PM,03:30:00 PM,30,لا,خز 109,17,محمد رسول جعافرة,وجاهي
CYS,437,2,سرية وخصوصية البيانات,3,40,  ,X,  ,X,  ,X,  ,02:30:00 PM,03:30:00 PM,31,لا,خز 109,31,محمد رسول جعافرة,وجاهي
CYS,440,1,بروتوكولات أمن المعلومات,3,31,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,25,لا,خز 105,19,مالك برهوش,وجاهي
CYS,461,1,تحقيقات الادلة الرقمية,3,41,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,39,لا,خز 222,39,محمد رسول جعافرة,وجاهي
CYS,462,1,أنظمة الشبكات الدفاعية,3,31,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,25,لا,خز 105,22,شذى نبيل شخاتره,مدمج
CYS,492,1,موضوعات خاصة,3,31,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,25,لا,خز 105,19,شذى نبيل شخاتره,مدمج
CYS,498,1,تدريب عملي,3,700,X,  ,X,  ,X,  ,  ,08:30:00 AM,02:30:00 PM,45,لا,0 ميدان,6,مالك برهوش,مدمج
CYS,499,1,مشروع تخرج,3,300,  ,X,  ,X,  ,X,  ,05:30:00 PM,06:30:00 PM,30,لا,0 Oline,30,مالك برهوش,إلكتروني
CYS,499,3,مشروع تخرج,3,300,  ,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,25,لا,0 Oline,24,شذى نبيل شخاتره,إلكتروني
DA,201,1,اساسيات علم البيانات,3,99,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,77,لا,خز 316,77,رامي عيسى محمد مهاوش,وجاهي
DA,201,2,اساسيات علم البيانات,3,72,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,73,لا,خز 326,73,رامي عيسى محمد مهاوش,وجاهي
DA,202,1,اساسيات الذكاء الاصطناعي,3,55,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,51,لا,خز 315,37,علي احمد ملكاوي,وجاهي
DA,202,2,اساسيات الذكاء الاصطناعي,3,72,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,72,لا,خز 326,70,علي احمد ملكاوي,وجاهي
DA,210,1,نظم الحوسبة لعلم البيانات والذكاء الاصطناعي,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,71,لا,0 Oline,58,صبح الخشيني,إلكتروني
DA,220,2,برمجة علوم البيانات والذكاء الاصطناعي,3,44,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,44,لا,خز 217,43,رامي عيسى محمد مهاوش,وجاهي
DA,330,1,هندسة البيانات وتحليلاتها,3,72,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,61,لا,خز 324,55,زياد ماجد هيلات,مدمج
DA,340,1,تمثيل واستدلال المعرفة,3,57,X,  ,X,  ,X,  ,  ,11:30:00 AM,12:30:00 PM,55,لا,م.ق 206,43,علي احمد ملكاوي,مدمج
DA,350,1,التعلم الآلـي والشبكات العصبونية,3,57,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,61,لا,م.ق 206,61,ايناس خشاشنه,وجاهي
DA,360,1,تمييز الانماط,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,82,لا,0 Oline,57,محمداشرف علي العتوم,إلكتروني
DA,370,1,تنقيب البيانات ومستودعاتها,3,72,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,75,لا,خز 326,75,ايناس خشاشنه,مدمج
DA,380,1,نمذجة البيانات ومحاكاتها,3,101,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,87,لا,خز 317,86,صبح الخشيني,مدمج
DA,450,1,التعلم العميق,3,55,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,51,لا,م.ق 207,51,زياد ماجد هيلات,مدمج
DA,460,1,البيانات الضخمة والمرئية,3,101,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,71,لا,خز 317,69,زياد ماجد هيلات,مدمج
DA,470,1,معالجة اللغات الطبيعية وتنقيب النصوص,3,55,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,41,لا,م.ق 207,27,عماد السخني,مدمج
DA,480,1,الربوتات المتنقلة الذكية,3,99,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,54,لا,خز 417,52,صبح الخشيني,مدمج
DA,499,1,مشروع  تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,19,لا,0 Oline,19,ايناس خشاشنه,إلكتروني
DA,499,2,مشروع  تخرج,3,300,X,  ,X,  ,X,  ,  ,06:30:00 PM,07:30:00 PM,19,لا,0 Oline,19,صبح الخشيني,إلكتروني
DA,499,3,مشروع  تخرج,3,300,X,  ,X,  ,X,  ,  ,06:30:00 PM,07:30:00 PM,20,لا,0 Oline,20,علي احمد ملكاوي,إلكتروني
DA,499,4,مشروع  تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,13,لا,0 Oline,12,عماد السخني,إلكتروني
DRG,201,1,رياضيات وفيزياء الالعاب,3,40,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,25,لا,خز 111,17,ربى ابو خرمه,وجاهي
DRG,202,1,النمذجة والتحريك ثنائية الأبعاد,3,30,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,26,لا,خز 226,21,رعد الخطيب,وجاهي
DRG,210,1,مقدمة في تطوير الالعاب,3,99,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,25,لا,خز 416,9,ربى ابو خرمه,وجاهي
DRG,210L,1,مختبر مقدمة في تطوير الالعاب,1,30,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,26,لا,خز 226,11,ربى ابو خرمه,وجاهي
DRG,310,1,تطوير الالعاب المتقدم,3,40,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,25,لا,خز 111,20,نواف السريحين,وجاهي
